variant,role,period,signal_date,asset_code,asset_name,exchange,industry_sector,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,sig_ma60_dist,exit_mode,exit_max_hold,exit_trend_ma,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
KOSPI_R17_CONTROL,control,pre,2020-05-06,035720,카카오,KOSPI,서비스업,2020-05-13,2020-05-14,2020-08-06,0.6821851851851852,68218518.51851852,MAX,0.22556390977443608,0.20180722891566266,0.18245579373703455,control,,,1.0,0.0,0.02364066193853428,0.169954066468522,1.0200483493581876,241096132000.0,0.041666666666666664,0.09953703703703703,0.1111111111111111,-0.009259259259259259,0.2361111111111111,0.29398148148148145,-0.009259259259259259,0.22685185185185186,0.29398148148148145,-0.009259259259259259,0.6851851851851852,0.7777777777777778,-0.009259259259259259
KOSPI_R17_CONTROL,control,pre,2020-05-22,336370,두산솔루스,KOSPI,UNKNOWN,2020-05-29,2020-06-01,2020-06-04,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2289655172413793,0.3915547024952015,0.33341507525365544,control,,,1.0,0.0,0.06572164948453608,0.16832662287207742,0.6616435238663249,42058325500.0,0.03132530120481928,-0.03614457831325301,0.07951807228915662,-0.07349397590361446,-0.07590361445783132,0.0855421686746988,-0.13253012048192772,-0.1891566265060241,0.0855421686746988,-0.2036144578313253,-0.02891566265060241,0.1650602409638554,-0.20843373493975903
KOSPI_R17_CONTROL,control,pre,2020-06-05,034730,SK,KOSPI,서비스업,2020-06-12,2020-06-15,2020-07-08,-0.123,-12300000.0,STOP,0.36186770428015563,0.3967391304347826,0.39471780028943565,control,,,1.0,0.0,0.13414634146341464,0.14862083161794978,1.863462200291682,362263086000.0,0.05190311418685121,0.01384083044982699,0.14878892733564014,-0.012110726643598616,0.01384083044982699,0.14878892733564014,-0.02768166089965398,-0.16089965397923875,0.14878892733564014,-0.17647058823529413,-0.26124567474048443,0.14878892733564014,-0.2906574394463668
KOSPI_R17_CONTROL,control,pre,2020-06-10,014680,한솔케미칼,KOSPI,UNKNOWN,2020-06-17,2020-06-18,2020-06-30,0.1061703056768559,10617030.56768559,TRAIL_PROFIT_FLOOR_12,0.345,0.3761467889908257,0.36147038801906056,control,,,0.9166666666666666,0.08333333333333333,0.026905829596412557,0.05335786568537258,0.7088122605363986,8100188000.0,0.0611353711790393,0.1615720524017467,0.1703056768558952,-0.013100436681222707,0.14847161572052403,0.22707423580786026,-0.013100436681222707,0.34497816593886466,0.388646288209607,-0.013100436681222707,0.3318777292576419,0.5720524017467249,-0.013100436681222707
KOSPI_R17_CONTROL,control,pre,2020-06-12,003670,포스코케미칼,KOSPI,화학,2020-06-19,2020-06-22,2020-08-03,0.028578947368421054,2857894.7368421056,MAX,0.18885448916408668,0.4484304932735426,0.2608158220024723,control,,,0.9636363636363636,0.03636363636363636,0.036834924965893585,0.21019108280254778,1.3015456666277618,99498136000.0,0.038157894736842106,0.003947368421052632,0.05921052631578947,-0.013157894736842105,0.02631578947368421,0.05921052631578947,-0.014473684210526316,-0.005263157894736842,0.09868421052631579,-0.03289473684210526,0.1618421052631579,0.34868421052631576,-0.07368421052631578
KOSPI_R17_CONTROL,control,pre,2020-07-13,009830,한화솔루션,KOSPI,UNKNOWN,2020-07-20,2020-07-21,2020-09-25,0.3918412698412698,39184126.984126985,TRAIL_GB_30,0.2736625514403292,0.7419354838709677,0.42501099545521187,control,,,1.0,0.0,0.06903765690376569,0.2139208932177218,1.4834222011182714,134348313050.0,0.07539682539682539,0.013888888888888888,0.10912698412698413,-0.005952380952380952,0.07936507936507936,0.125,-0.007936507936507936,0.2757936507936508,0.3373015873015873,-0.007936507936507936,0.7142857142857143,1.0753968253968254,-0.007936507936507936
KOSPI_R17_CONTROL,control,pre,2020-07-16,000910,유니온,KOSPI,UNKNOWN,2020-07-23,2020-07-24,2020-09-07,0.24325850340136054,24325850.340136055,MAX,0.276707530647986,0.9792027729636048,0.08379994305779634,control,,,1.0,0.0,0.09375,0.2935415319227571,8.519214887308713,163744693000.0,0.23809523809523808,0.22448979591836735,0.5102040816326531,-0.034013605442176874,0.29931972789115646,0.5102040816326531,-0.034013605442176874,0.1673469387755102,0.5102040816326531,-0.034013605442176874,-0.004081632653061225,0.5102040816326531,-0.058503401360544216
KOSPI_R17_CONTROL,control,pre,2020-11-05,204320,만도,KOSPI,UNKNOWN,2020-11-12,2020-11-13,2021-02-10,0.7876403940886699,78764039.40886699,MAX,0.16191709844559585,0.2823920265780731,0.14438185591461608,control,,,0.98,0.02,0.04225352112676056,0.10838779956427015,1.1991901208845719,41959827800.0,0.10098522167487685,0.08866995073891626,0.14039408866995073,-0.009852216748768473,0.19088669950738915,0.19950738916256158,-0.009852216748768473,0.3078817733990148,0.47783251231527096,-0.009852216748768473,0.7906403940886699,1.1921182266009853,-0.009852216748768473
KOSPI_R17_CONTROL,control,pre,2020-11-10,004270,남성,KOSPI,UNKNOWN,2020-11-17,2020-11-18,2020-11-19,0.11676047904191617,11676047.904191617,TRAIL_PROFIT_FLOOR_12,0.3831891223733004,0.48713235294117646,0.34043963327073906,control,,,1.0,0.0,0.11315789473684211,0.1337443044760118,1.0131930691879314,51526996290.0,0.029940119760479042,0.081437125748503,0.23592814371257484,-0.031137724550898204,0.1089820359281437,0.23592814371257484,-0.031137724550898204,0.07544910179640718,0.23592814371257484,-0.031137724550898204,-0.06227544910179641,0.23592814371257484,-0.16766467065868262
KOSPI_R17_CONTROL,control,pre,2020-11-10,105840,우진,KOSPI,UNKNOWN,2020-11-17,2020-11-18,2020-12-02,-0.123,-12300000.0,STOP,0.37244348762109797,0.21437908496732025,0.18145785201042833,control,,,1.0,0.0,0.09165808444902163,0.14668974469926438,0.8243351234215328,12198564800.0,0.02091254752851711,-0.06749049429657794,0.08555133079847908,-0.07699619771863118,-0.1188212927756654,0.08555133079847908,-0.12167300380228137,-0.1806083650190114,0.08555133079847908,-0.19106463878326996,-0.23479087452471484,0.08555133079847908,-0.29277566539923955
