trade_date,period,regime,market_gate,raw_candidates,entry_pass_top10,entry_pass_top20
2012-01-02,pre,CRASH,False,0,0,0
2012-01-03,pre,CRASH,False,0,0,0
2012-01-04,pre,CRASH,False,0,0,0
2012-01-05,pre,CRASH,False,0,0,0
2012-01-06,pre,CRASH,False,0,0,0
2012-01-09,pre,CRASH,False,0,0,0
2012-01-10,pre,CRASH,False,0,0,0
2012-01-11,pre,CRASH,False,0,0,0
2012-01-12,pre,CRASH,False,0,0,0
2012-01-13,pre,CRASH,False,0,0,0
2012-01-16,pre,CRASH,False,0,0,0
2012-01-17,pre,CRASH,False,0,0,0
2012-01-18,pre,CRASH,False,0,0,0
2012-01-19,pre,CRASH,False,0,0,0
2012-01-20,pre,CRASH,False,0,0,0
2012-01-25,pre,CRASH,False,0,0,0
2012-01-26,pre,CRASH,False,0,0,0
2012-01-27,pre,CRASH,False,0,0,0
2012-01-30,pre,CRASH,False,0,0,0
2012-01-31,pre,CRASH,False,0,0,0
2012-02-01,pre,BULL,True,0,0,0
2012-02-02,pre,BULL,True,0,0,0
2012-02-03,pre,BULL,True,0,0,0
2012-02-06,pre,CRASH,False,0,0,0
2012-02-07,pre,BULL,True,0,0,0
2012-02-08,pre,BULL,True,0,0,0
2012-02-09,pre,BULL,True,0,0,0
2012-02-10,pre,BULL,True,0,0,0
2012-02-13,pre,BULL,True,0,0,0
2012-02-14,pre,BULL,True,0,0,0
2012-02-15,pre,BULL,True,0,0,0
2012-02-16,pre,BULL,True,0,0,0
2012-02-17,pre,BULL,True,0,0,0
2012-02-20,pre,BULL,True,0,0,0
2012-02-21,pre,BULL,True,0,0,0
2012-02-22,pre,BULL,True,0,0,0
2012-02-23,pre,BULL,True,0,0,0
2012-02-24,pre,BULL,True,0,0,0
2012-02-27,pre,CRASH,False,0,0,0
2012-02-28,pre,BULL,True,0,0,0
2012-02-29,pre,BULL,True,0,0,0
2012-03-02,pre,BULL,True,0,0,0
2012-03-05,pre,BULL,True,0,0,0
2012-03-06,pre,CRASH,False,0,0,0
2012-03-07,pre,CRASH,False,0,0,0
2012-03-08,pre,CRASH,False,0,0,0
2012-03-09,pre,BULL,True,0,0,0
2012-03-12,pre,CRASH,False,0,0,0
2012-03-13,pre,CRASH,False,0,0,0
2012-03-14,pre,CRASH,False,0,0,0
2012-03-15,pre,CRASH,False,0,0,0
2012-03-16,pre,BULL,True,0,0,0
2012-03-19,pre,BULL,True,0,0,0
2012-03-20,pre,CRASH,False,0,0,0
2012-03-21,pre,CRASH,False,0,0,0
2012-03-22,pre,CRASH,False,0,0,0
2012-03-23,pre,CRASH,False,0,0,0
2012-03-26,pre,CRASH,False,0,0,0
2012-03-27,pre,CRASH,False,0,0,0
2012-03-28,pre,SIDEWAYS,False,0,0,0
2012-03-29,pre,SIDEWAYS,False,0,0,0
2012-03-30,pre,SIDEWAYS,False,0,0,0
2012-04-02,pre,SIDEWAYS,False,0,0,0
2012-04-03,pre,SIDEWAYS,False,0,0,0
2012-04-04,pre,SIDEWAYS,False,6,0,0
2012-04-05,pre,SIDEWAYS,False,7,0,0
2012-04-06,pre,SIDEWAYS,False,5,0,0
2012-04-09,pre,SIDEWAYS,False,5,0,0
2012-04-10,pre,CRASH,False,2,0,0
2012-04-12,pre,CRASH,False,3,0,0
2012-04-13,pre,SIDEWAYS,False,7,0,0
2012-04-16,pre,CRASH,False,6,0,0
2012-04-17,pre,CRASH,False,10,0,0
2012-04-18,pre,CRASH,False,13,0,0
2012-04-19,pre,CRASH,False,5,1,1
2012-04-20,pre,CRASH,False,4,1,1
2012-04-23,pre,CRASH,False,6,0,0
2012-04-24,pre,CRASH,False,3,1,1
