variant,period,regime,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
iter01_relaxed_baseline,pre,BULL,2012-06-14,078340,컴투스,2012-06-21,2012-06-22,2012-08-03,-0.016953488372093022,-1695348.8372093022,MAX,0.3333333333333333,0.9182692307692307,1.0,0.0,0.0654911838790932,0.20788121073672186,0.996438789757331,24082659000.0,0.046511627906976744,-0.046511627906976744,0.06976744186046512,-0.06046511627906977,0.08372093023255814,0.10697674418604651,-0.06395348837209303,0.0034883720930232558,0.10813953488372093,-0.10697674418604651,0.4116279069767442,0.6441860465116279,-0.10697674418604651
iter01_relaxed_baseline,pre,BULL,2012-06-14,039530,씨앤케이인터,2012-06-21,2012-06-22,2012-07-02,0.2658588007736944,26585880.07736944,TRAIL,0.4934640522875817,0.3783783783783784,1.0,0.0,0.05510204081632653,0.7040210942649967,1.5833737423883882,5319397490.0,0.13539651837524178,0.2688588007736944,0.7001934235976789,0.0,0.19922630560928434,0.7001934235976789,-0.05029013539651837,0.22823984526112184,0.7001934235976789,-0.05029013539651837,0.12572533849129594,0.7911025145067698,-0.05029013539651837
iter01_relaxed_baseline,pre,BULL,2012-06-20,053160,프리엠스,2012-06-27,2012-06-28,2012-07-05,0.012,1200000.0,TRAIL,0.4722921914357683,0.32998324958123953,1.0,0.0,0.0946969696969697,0.5192535155736627,3.887634131475943,13071539360.0,0.10666666666666667,0.015,0.27166666666666667,-0.021666666666666667,-0.11166666666666666,0.27166666666666667,-0.15,-0.25666666666666665,0.27166666666666667,-0.2575,-0.22083333333333333,0.27166666666666667,-0.2733333333333333
iter01_relaxed_baseline,pre,BULL,2012-08-14,038290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.15869544740973313,15869544.740973312,MAX,0.2540834845735027,0.3775,1.0,0.0,0.059422750424448216,0.22919334186939821,2.2254058130853167,10992009600.0,0.05023547880690738,0.054945054945054944,0.14285714285714285,-0.02511773940345369,0.02197802197802198,0.14285714285714285,-0.02511773940345369,0.0,0.14285714285714285,-0.07535321821036106,-0.012558869701726845,0.22762951334379905,-0.07535321821036106
iter01_relaxed_baseline,pre,BULL,2012-08-23,048260,오스템임플란트,2012-08-30,2012-08-31,2012-09-17,-0.123,-12300000.0,STOP,0.25210084033613445,0.8378378378378378,0.9444444444444444,0.05555555555555555,0.020161290322580645,0.2154696132596685,1.417798428339595,24448655000.0,0.029411764705882353,0.00196078431372549,0.10392156862745099,-0.047058823529411764,-0.07058823529411765,0.10392156862745099,-0.07450980392156863,0.07647058823529412,0.10392156862745099,-0.12352941176470589,0.09803921568627451,0.3254901960784314,-0.12352941176470589
iter01_relaxed_baseline,pre,BULL,2012-09-07,044380,주연테크,2012-09-14,2012-09-17,2012-09-24,-0.123,-12300000.0,STOP,0.5139240506329114,1.1085409252669038,1.0,0.0,0.06451612903225806,0.36723807550883003,0.723193069240168,5662821120.0,0.015384615384615385,-0.12692307692307692,0.11538461538461539,-0.1346153846153846,-0.18461538461538463,0.11538461538461539,-0.29307692307692307,0.011538461538461539,0.11538461538461539,-0.31153846153846154,-0.5146153846153846,0.11538461538461539,-0.5453846153846154
iter01_relaxed_baseline,pre,BULL,2012-09-07,000300,대유신소재,2012-09-14,2012-09-17,2012-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2574712643678161,0.20498614958448755,1.0,0.0,0.0016666666666666668,0.3597285067873303,2.9005344468837078,42321022675.0,0.021487603305785124,-0.2231404958677686,0.06446280991735537,-0.2578512396694215,-0.28429752066115704,0.06446280991735537,-0.33884297520661155,-0.3851239669421488,0.06446280991735537,-0.41983471074380163,-0.5289256198347108,0.06446280991735537,-0.5669421487603306
iter01_relaxed_baseline,pre,BULL,2012-09-10,102940,코오롱생명과학,2012-09-17,2012-09-18,2012-10-29,-0.027906600249066,-2790660.0249066,TRAIL,0.28403141361256545,0.7850467289719626,0.9545454545454546,0.045454545454545456,0.020356234096692113,0.07090399252236614,1.0110576187889877,5382141800.0,0.0062266500622665,0.20797011207970112,0.21793275217932753,-0.0136986301369863,0.1793275217932752,0.2266500622665006,-0.0136986301369863,0.047322540473225407,0.24906600249066002,-0.014943960149439602,-0.047322540473225407,0.24906600249066002,-0.15566625155666253
iter01_relaxed_baseline,pre,BULL,2012-09-10,066410,캔들미디어,2012-09-17,2012-09-18,2012-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.5429657794676807,0.27053140096618356,1.0,0.0,0.05660377358490566,0.8033974720231867,0.7384788581699592,8441549760.0,0.08409090909090909,-0.4636363636363636,0.17727272727272728,-0.4636363636363636,-0.2863636363636364,0.17727272727272728,-0.47954545454545455,-0.45227272727272727,0.17727272727272728,-0.5772727272727273,-0.6304545454545455,0.17727272727272728,-0.6586363636363637
iter01_relaxed_baseline,pre,BULL,2012-09-13,046140,SBS콘텐츠허브,2012-09-20,2012-09-21,2012-09-25,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2795031055900621,0.40611353711790393,1.0,0.0,0.015060240963855422,0.15827461763189551,1.0223786602372917,3635454900.0,0.011764705882352941,-0.0029411764705882353,0.026470588235294117,-0.07058823529411765,0.0,0.029411764705882353,-0.07058823529411765,-0.011764705882352941,0.07647058823529412,-0.10294117647058823,-0.25,0.07647058823529412,-0.25588235294117645
iter01_relaxed_baseline,pre,BULL,2012-09-18,096630,에스코넥,2012-09-25,2012-09-26,2012-10-12,0.23910526315789474,23910526.315789472,TRAIL,0.3342857142857143,0.5283842794759825,1.0,0.0,0.18849840255591055,0.2631578947368421,2.3300104710369705,58727578620.0,0.021052631578947368,0.5,0.5210526315789473,-0.05263157894736842,0.24210526315789474,0.5684210526315789,-0.05263157894736842,0.06578947368421052,0.5684210526315789,-0.05263157894736842,-0.4394736842105263,0.5684210526315789,-0.5589473684210526
iter01_relaxed_baseline,pre,BULL,2012-09-18,105630,한세실업,2012-09-25,2012-09-26,2012-12-07,0.13132835820895522,13132835.820895523,TRAIL,0.2596899224806202,0.205607476635514,0.9285714285714286,0.07142857142857142,0.03076923076923077,0.07630522088353414,1.099556048770412,5093098800.0,0.022388059701492536,0.11940298507462686,0.16417910447761194,-0.011194029850746268,0.12313432835820895,0.16417910447761194,-0.011194029850746268,0.13432835820895522,0.2462686567164179,-0.011194029850746268,0.1865671641791045,0.44029850746268656,-0.011194029850746268
