variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
base_cond_ext60_ret25_t20,pre,2012-06-12,044380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.39078498293515357,0.3378995433789954
base_cond_ext60_ret25_t20,pre,2012-08-14,038290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2540834845735027,0.3775
base_cond_ext60_ret25_t20,pre,2013-02-22,048830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_LOW_TOUCH,0.39855072463768115,0.7380352644836272
base_cond_ext60_ret25_t20,pre,2013-07-18,006840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.49772727272727274
base_cond_ext60_ret25_t20,pre,2013-09-26,029480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.46264367816091956,0.359375
base_cond_ext60_ret25_t20,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_LOW_TOUCH,0.27601809954751133,0.33454106280193235
base_cond_ext60_ret25_t20,pre,2015-01-09,005110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.37569444444444444,1.453151618398637
base_cond_ext60_ret25_t20,pre,2015-02-06,028300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.43308823529411766,0.5906432748538012
base_cond_ext60_ret25_t20,pre,2015-03-25,099830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.3501577287066246,1.5079113924050633
base_cond_ext60_ret25_t20,pre,2015-04-29,049720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.36585365853658536,1.4477611940298507
base_cond_ext60_ret25_t20,pre,2016-03-15,043710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.43091655266757867,1.3169572107765453
base_cond_ext60_ret25_t20,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.26991150442477874,0.608540925266904
base_cond_ext60_ret25_t20,pre,2016-12-12,025820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.475,0.3231552162849873
base_cond_ext60_ret25_t20,pre,2017-02-23,008700,아남전자,2017-03-03,2017-03-06,2017-04-04,1.1008251366120219,TRAIL,0.371875,0.4479638009049774
base_cond_ext60_ret25_t20,pre,2017-11-16,007390,네이처셀,2017-11-23,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.4294117647058823,0.4088397790055249
base_cond_ext60_ret25_t20,pre,2018-01-16,086890,이수앱지스,2018-01-23,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.3703056768558952,0.6937869822485208
base_cond_ext60_ret25_t20,pre,2018-04-20,028300,에이치엘비,2018-04-27,2018-04-30,2018-05-08,-0.123,STOP,0.4836795252225519,0.9940828402366864
base_cond_ext60_ret25_t20,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2018-12-12,2018-12-13,-0.063,EARLY_FAIL_LOW_TOUCH,0.5032894736842105,0.7531718569780853
base_cond_ext60_ret25_t20,pre,2019-04-11,043370,평화정공,2019-04-18,2019-04-19,2019-04-23,-0.063,EARLY_FAIL_LOW_TOUCH,0.2542056074766355,0.6212121212121212
base_cond_ext60_ret25_t20,pre,2020-01-17,066310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.123,STOP,0.3588039867109635,0.6323210412147505
base_cond_ext60_ret25_t20,pre,2020-04-07,270870,뉴트리,2020-04-14,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.41732283464566927,0.3368421052631579
