variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
ref_bma20,bull,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.43097169703557603
ref_bma20,bull,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2796015899375021
ref_bma20,bull,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.6817603145796336
ref_bma20,bull,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.524114510503124
ref_bma20,bull,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.28209358832621345
ref_bma20,bull,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.36926920283112136
ref_bma20,bull,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,1.45551004784013
ref_bma20,bull,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.5944537689954211
ref_bma20,bull,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,1.454384352972773
ref_bma20,bull,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,1.3485594456740644
ref_bma20,bull,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,1.3060007390170436
ref_bma20,bull,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP,0.5425160660407056
ref_bma20,bull,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.30921075405707427
ref_bma20,bull,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL,0.3824979316243942
ref_bma20,bull,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.3294064964899603
ref_bma20,bull,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.6741028662141343
ref_bma20,bull,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,1.0178429916204284
ref_bma20,bull,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.8401296929858928
ref_bma20,bull,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.5494872456357736
ref_bma20,bull,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.5549056088736649
ref_bma20,bull,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.5103336457433088
ref_bma20,bull,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.6593421727402581
ref_bma20,bull,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.3732371202060558
ref_bma20,bull,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.2720909323061863
ref_bma20,bull,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.3979424828413718
ref_bma20,bull,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.909580039110724
ref_bma20,bull,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.595755529705043
ref_bma20,bull,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,1.0552570891497046
ref_bma20,bull,train,2023-05-23,336570,원텍,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.35121288729396666
ref_bma20,bull,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.3272327006537795
ref_bma20,bull,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL,0.2262915039011231
ref_bma20,bull,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.2500223906556801
ref_bma20,bull,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.6622437278115749
ref_bma20,bull,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.8330805162399049
ref_bma20,bull,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,1.368497999617459
no_regime,bear,pre,2012-04-19,013810,스페코,2012-04-27,2012-05-02,-0.063,EARLY_FAIL,0.41554938393206503
no_regime,bear,pre,2012-05-18,004920,삼영홀딩스,2012-05-29,2012-06-19,-0.123,STOP,1.4746547138259583
no_regime,bull,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2796015899375021
no_regime,mixed,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP,0.6741733425439157
no_regime,bull,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.6817603145796336
