period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,peak_ret,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,candle_location,upper_shadow,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5
pre,2019-01-09,115440,우리넷,2019-01-16,2019-04-01,-0.048751633986928056,MAX,0.11111111111111116,0.32178217821782185,0.26740506329113933,0.048429319371727786,0.9876695437731196,0.5187265917602997,0.36389859721717877,1.0,0.0,0.27142857142857135,0.42549941419863857,0.19114448761083325,0.09053141769084294,0.017688697043331203
pre,2019-04-02,097520,엠씨넥스,2019-04-09,2019-06-20,0.3950099502487562,MAX,0.4129353233830846,0.2964169381107491,0.5307692307692307,0.28802588996763756,0.9476190476190476,0.4,0.5379479155912024,0.5882352941176471,0.0,0.09011229800054776,0.26062397719474206,0.33508512006261704,0.06381118881118875,0.04105297867663227
pre,2019-07-05,005960,동부건설,2019-07-12,2019-08-07,-0.2663928571428571,STOP,0.02678571428571419,0.42138364779874204,0.32784958871915393,0.5738161559888579,0.9741379310344828,0.4758269720101781,0.6882722313470866,1.0,0.0,0.1704992749119536,0.3028940389715209,0.33410729921980287,0.08906311692706859,0.025925122725390715
pre,2019-08-19,143240,사람인에이치알,2019-08-26,2019-11-07,0.03792526690391462,MAX,0.07117437722419928,0.18292682926829262,0.2543103448275863,0.552,1.0,0.4195121951219512,0.8787203398694914,1.0,0.0,0.19274515831540118,0.19421360418590328,0.2805515319312786,0.04118211885202183,0.01654788805840446
pre,2019-11-08,053590,한국테크놀로지,2019-11-15,2020-01-06,-0.10536220472440949,TRAIL,0.3438320209973753,0.3011583011583012,0.5388127853881279,0.19081272084805656,1.0,0.3534136546184739,1.8802160517648094,1.0,0.0,0.1341073531886252,0.39099089183016433,0.3690282742931428,0.06696588868940756,0.03400102429863994
pre,2020-01-15,066310,큐에스아이,2020-01-22,2020-02-27,-0.03371672354948807,TRAIL,0.6109215017064846,0.40096618357487923,0.5934065934065933,0.6164994425863992,0.9698996655518395,0.5177664974619289,0.6272393712120792,1.0,0.0,0.1751357484399061,0.28869797067101177,0.3563761371343046,0.09180197318939953,0.02692424703376939
pre,2020-04-10,182690,테라셈,2020-04-20,2020-06-29,0.002025125628140614,TRAIL,0.7420435510887773,0.11909262759924388,0.40617577197149646,-0.0033670033670033517,0.925,0.40617577197149646,1.8134572944494727,1.0,0.0,0.08873563218390812,0.2917772847947049,0.1928469481991435,0.00638534147695724,0.011514125956444854
pre,2020-07-02,216050,인크로스,2020-07-09,2020-09-17,0.5735069551777435,MAX,0.8176197836166925,0.13442622950819683,0.9492957746478874,0.38955823293172687,0.9611111111111111,0.2765957446808511,0.637187490165681,1.0,0.0,0.10366826156299846,0.3064820641913153,0.37490272695663696,0.029303127308544674,0.05385329619312906
pre,2020-09-25,007280,한국특수형강,2020-10-07,2020-12-16,0.057846560846560924,MAX,0.13756613756613767,0.2720848056537102,0.27659574468085113,0.5,0.9137055837563451,0.392226148409894,0.8672416640811417,1.0,0.0,0.11128260534033019,0.18349679469618096,0.2303485987696514,0.07108612993883279,0.025798111510791255
pre,2020-12-17,083500,에프엔에스테크,2020-12-24,2021-03-11,0.013949152542372837,MAX,0.3305084745762712,0.35373443983402497,0.5818181818181818,0.42778993435448576,0.9961832061068703,0.45071982281284606,2.7525902004825724,0.9545454545454546,0.045454545454545456,0.3218536338313498,0.4249317561419472,0.45250153041348984,0.04096372838464779,0.026431306621836237
pre,2021-03-12,344820,케이씨씨글라스,2021-03-19,2021-05-31,0.49466355140186924,MAX,0.5887850467289719,0.13613231552162852,0.2472067039106145,0.37808641975308643,0.8636363636363636,0.323943661971831,0.5260491420605565,0.9782608695652174,0.021739130434782608,-0.009703354588300517,0.10755110899807763,0.23966081695452512,0.020021491997058938,0.0131945462542149
pre,2021-06-08,026040,제이에스티나,2021-06-15,2021-08-24,-0.1513594864479315,MAX,0.15549215406562045,0.2639405204460967,0.6831683168316831,0.6190476190476191,0.8947368421052632,0.41263940520446096,0.32354473089991603,0.6851851851851852,0.0,0.0756940599541247,0.2886923562855337,0.4463981849120817,0.06646984394770139,0.04636943517202652
pre,2021-09-08,002030,아세아,2021-09-15,2021-11-30,-0.18944067796610164,MAX,0.023728813559322104,0.24031007751937983,0.20300751879699241,0.714898177920686,0.9552238805970149,0.3786008230452675,1.1910660637116854,0.9473684210526315,0.05263157894736842,0.1663932932385639,0.22114100362526234,0.23780727598589424,0.05316698656429941,0.01576329220233852
pre,2021-12-01,024090,디씨엠,2021-12-08,2021-12-16,-0.2610128205128205,STOP,0.03205128205128216,0.24145299145299148,0.6599999999999999,0.7395209580838322,0.9847457627118644,0.3625866050808314,1.0021725861998083,0.9655172413793104,0.034482758620689655,0.12075617283950613,0.3419046885826469,0.4890118104350427,0.0648043545239807,0.04678244751581584
pre,2022-01-06,267320,나인테크,2022-01-13,2022-01-27,-0.10411111111111115,TRAIL,0.451111111111111,0.4072900158478605,0.4629324546952225,-0.011135857461024523,0.9866666666666667,0.43769968051118213,0.663125247357485,0.8461538461538461,0.07692307692307693,0.14817688130333595,0.32002081113891423,0.24339272587251015,0.09523472350067275,0.03545316949282995
pre,2022-02-08,056090,유앤아이,2022-02-15,2022-02-22,0.40578378378378377,TRAIL,1.2837837837837838,0.3484536082474228,0.38120380147835276,0.23163841807909602,0.9761194029850746,0.400208986415883,1.4167397966576176,1.0,0.0,0.1894152950804764,0.3083488930381435,0.35371028392037807,0.05770895450610758,0.022518452857849258
pre,2022-03-02,008260,NI스틸,2022-03-10,2022-05-19,0.2343626373626374,MAX,0.37362637362637363,0.3205882352941176,0.390092879256966,-0.01857923497267755,0.903420523138833,0.4725925925925926,0.2934596263237123,0.9714285714285714,0.02857142857142857,0.03539720973135019,0.18937771793117153,0.1519343217847713,0.05019071259914032,0.027023963363485892
train,2022-05-31,066970,엘앤에프,2022-06-09,2022-08-18,0.07683193277310918,MAX,0.09117647058823519,0.17511312217194575,0.3116161616161617,0.23080568720379158,0.9308243727598566,0.3426371511068335,1.314206006129376,1.0,0.0,0.07316266865017873,0.16318303971334736,0.23881492906349489,0.03262214636227867,0.020157943234866194
train,2022-09-02,009830,한화솔루션,2022-09-13,2022-11-23,-0.04003703703703709,MAX,0.03518518518518521,0.22248803827751207,0.2601726263871764,0.4496453900709221,0.9462962962962963,0.28418549346016647,0.7101508845027601,0.48936170212765956,0.0425531914893617,0.06402915148360222,0.2571241133297797,0.3664623955431754,0.04601143479444603,0.025049384272685327
train,2022-11-24,173130,오파스넷,2022-12-01,2023-02-13,-0.15684615384615386,MAX,0.28556375131717604,0.204225352112676,0.383495145631068,0.40625,0.9542410714285714,0.3333333333333333,0.24804705901086374,1.0,0.0,0.0882016036655211,0.2979455520696286,0.3520458588653883,0.04287231218476251,0.02489368322788099
train,2023-02-14,247540,에코프로비엠,2023-02-21,2023-05-03,0.6908221317040054,MAX,1.141887304820095,0.40781563126252496,0.2680505415162455,0.23245614035087714,0.9859649122807017,0.4690721649484536,1.4498104456048084,0.775,0.05,0.2473366477272727,0.33223762188472894,0.330471425640378,0.08214045537515613,0.015845240006421513
train,2023-05-12,322510,제이엘케이,2023-05-19,2023-07-31,3.2548125,MAX,3.9609375,0.1730038022813689,0.3695893451720311,0.7755395683453237,0.9033674963396779,0.31094049904030713,1.2672313931596748,0.5535714285714286,0.0,0.03160006687844841,0.10509112076299654,0.31878701518457486,0.03936050047788697,0.021544232000731967
train,2023-08-01,314930,바이오다인,2023-08-08,2023-10-13,0.032849056603773685,TRAIL,0.4811320754716981,0.38366336633663356,0.5190217391304348,1.0216998191681737,0.9928952042628775,0.4289340101522843,2.0790376260478816,0.9398496240601504,0.06015037593984962,0.2021505376344086,0.39051843867249847,0.5994086861148533,0.06376894480983708,0.03235678058593172
train,2023-11-01,373200,하인크코리아,2023-11-08,2024-01-19,0.011641288433382194,MAX,0.2005856515373352,0.10806451612903234,0.4194214876033058,0.3740000000000001,0.950207468879668,0.3030852994555354,0.8386760610044393,0.9482758620689655,0.05172413793103448,0.10806451612903234,0.2546226544308998,0.26014582473517667,0.018145988997454676,0.02760227699236828
train,2024-02-14,161390,한국타이어앤테크놀로지,2024-02-21,2024-05-03,-0.07681370826010547,MAX,0.11247803163444647,0.18518518518518512,0.2129319955406912,0.4038709677419354,0.998165137614679,0.25,0.93178863990741,0.9666666666666667,0.03333333333333333,0.10093599797622055,0.16882419294193474,0.26692090477715347,0.03916929547844372,0.014366146022520843
train,2024-05-07,106190,하이텍팜,2024-05-14,2024-07-24,0.4645,MAX,0.6066666666666667,0.23100303951367773,0.5360303413400758,-0.12778176597272073,0.9878048780487805,0.33116883116883117,2.033458011750387,0.8936170212765957,0.0,0.17244041300781632,0.2501714912882427,0.1329815754505117,0.03387040454930923,0.0253921361750018
train,2024-08-01,009540,HD한국조선해양,2024-08-08,2024-10-25,0.05411263881544148,MAX,0.11316763617133785,0.3337507827175954,0.6075471698113208,0.7317073170731707,1.0,0.3786407766990291,0.7433750197032886,1.0,0.0,0.1762432007068504,0.3876372164735773,0.5588977933911516,0.06797004010379815,0.041655356496561824
train,2024-10-28,214450,파마리서치,2024-11-04,2025-01-15,0.16211627906976733,MAX,0.27209302325581386,0.19732785200411107,0.6678596993557624,0.9612794612794613,0.9789915966386554,0.2700106723585913,0.7006326522425892,0.8235294117647058,0.058823529411764705,0.07947832935671428,0.24570063978044288,0.42479323681836934,0.039891118444824514,0.040999573307608284
train,2025-02-12,041510,에스엠,2025-02-19,2025-04-30,0.3525798687089715,MAX,0.3665207877461707,0.3704245973645681,0.25469168900804284,0.3295454545454546,0.9659442724458205,0.4419642857142857,0.9138936638924036,0.5365853658536586,0.0,0.1333777320336622,0.18466016959878506,0.2906487716314663,0.06864648033126297,0.016401878175853923
train,2025-05-13,001720,신영증권,2025-05-20,2025-07-30,0.17965682656826576,MAX,0.6476014760147601,0.4495412844036697,0.3982300884955752,0.38250000000000006,0.9963963963963964,0.4839572192513369,2.1749162590066753,0.9452054794520548,0.0547945205479452,0.29220703353195465,0.3443539564847453,0.39062647345424817,0.08886203167737428,0.02342842925858335
post,2025-08-20,092460,한라IMS,2025-08-27,2025-11-11,0.3063042749371333,MAX,0.856663872590109,0.2419855222337126,0.2575916230366493,0.36477272727272725,0.8779239766081871,0.4584221748400853,0.8754080836660495,0.975609756097561,0.024390243902439025,0.06367903640067318,0.20503687352631306,0.2695224756216801,0.06063594946221418,0.023132068369634107
post,2025-11-12,010950,S-Oil,2025-11-19,2026-05-20,0.2575233219567691,MAX,0.3026166097838452,0.33587786259541974,0.4297385620915033,0.7056530214424952,0.9954493742889647,0.3523076923076923,1.7993221165440134,0.9322033898305084,0.06779661016949153,0.18235254374704413,0.34000357334286213,0.3981916721040786,0.05135672680778525,0.023886057755128753
