period,signal_date,asset_code,asset_name,exit_date,ret_pct,reason,close_5d_pct,max_5d_pct,min_5d_pct,close_10d_pct,max_10d_pct,min_10d_pct,close_20d_pct,max_20d_pct,min_20d_pct,close_60d_pct,max_60d_pct,min_60d_pct
pre,2012-06-12,044380,주연테크,2012-06-27,1.8,TRAIL,8.53,18.09,-4.85,-10.0,18.09,-10.29,-21.18,18.09,-22.21,100.74,127.94,-22.21
pre,2012-08-14,038290,마크로젠,2012-10-08,15.87,MAX,-2.84,5.68,-5.95,-10.41,5.68,-17.03,-15.81,5.68,-18.92,-23.38,5.68,-27.3
pre,2013-02-22,048830,엔피케이,2013-03-07,-6.3,EARLY_FAIL,-11.69,5.06,-13.98,-10.72,5.06,-20.0,-25.06,5.06,-28.92,-26.99,5.06,-36.39
pre,2013-07-18,006840,AK홀딩스,2013-09-09,13.48,MAX,-1.0,2.0,-3.87,-1.87,2.0,-6.12,-3.37,2.0,-7.62,3.5,15.86,-10.86
pre,2013-09-26,029480,케이디씨,2013-10-17,12.53,TRAIL,22.74,31.98,-10.4,-6.55,31.98,-10.4,-2.7,31.98,-12.52,-29.67,31.98,-42.97
pre,2014-12-09,900070,글로벌에스엠,2014-12-19,-6.3,EARLY_FAIL,-23.02,5.04,-25.54,-22.3,5.04,-26.62,-14.75,5.04,-26.62,-7.19,31.29,-26.62
pre,2015-01-09,005110,한창,2015-01-29,47.43,TRAIL,7.13,14.41,-16.36,-10.35,14.41,-16.36,-9.51,14.41,-16.36,-14.55,14.41,-21.96
pre,2015-02-06,028300,에이치엘비,2015-03-05,-12.3,STOP,0.0,2.13,-10.99,12.06,15.6,-10.99,3.9,17.38,-10.99,122.34,134.4,-10.99
pre,2015-03-25,099830,씨그널정보통신,2015-04-17,44.18,TRAIL,1.86,19.01,-10.33,15.91,19.01,-10.33,11.16,19.83,-10.33,61.98,95.87,-10.33
pre,2015-04-29,049720,고려신용정보,2015-05-29,-12.3,STOP,-14.71,0.74,-16.32,-2.22,11.25,-16.32,6.8,15.7,-16.32,-10.01,15.7,-16.32
pre,2016-03-15,043710,로켓모바일,2016-04-11,43.29,TRAIL,1.79,14.29,-3.12,2.23,22.32,-3.12,-2.68,22.32,-7.59,-14.38,22.32,-100.0
pre,2016-09-23,137940,넥스트아이,2016-10-28,-12.3,STOP,8.75,9.85,-1.75,6.13,11.38,-3.28,-5.91,11.38,-11.16,-17.29,11.38,-25.16
pre,2016-12-12,025820,이구산업,2017-02-03,15.27,MAX,-14.68,2.07,-15.37,-12.09,2.07,-16.41,-19.0,2.07,-23.66,-31.09,2.07,-32.64
pre,2017-02-23,008700,아남전자,2017-04-04,110.08,TRAIL,-10.91,7.01,-23.77,-1.82,7.01,-26.49,-7.92,15.71,-26.49,-26.23,15.71,-29.87
pre,2017-11-16,007390,네이처셀,2017-12-08,31.61,TRAIL,43.66,60.77,-5.01,18.29,60.77,-5.01,30.68,60.77,-5.01,210.91,218.58,-5.01
pre,2018-01-16,086890,이수앱지스,2018-02-07,-5.21,TRAIL,9.13,18.25,-3.57,6.75,18.25,-3.57,4.37,18.25,-5.56,-15.87,23.81,-19.84
pre,2018-04-20,028300,에이치엘비,2018-05-08,-12.3,STOP,-4.13,10.03,-12.49,14.06,17.21,-12.49,13.67,48.97,-12.49,-32.35,48.97,-42.38
pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-13,-6.3,EARLY_FAIL,-2.32,1.99,-7.62,7.95,11.92,-7.62,-1.99,11.92,-7.62,-21.85,11.92,-25.5
pre,2019-04-11,043370,평화정공,2019-04-23,-6.3,EARLY_FAIL,-1.79,1.34,-11.07,-15.62,1.34,-17.77,-23.84,1.34,-27.59,-19.11,1.34,-29.02
pre,2020-01-17,066310,큐에스아이,2020-02-27,-12.3,STOP,28.52,28.52,-5.63,-2.11,35.56,-5.63,-26.06,35.56,-40.85,22.89,35.56,-40.85
pre,2020-04-07,270870,뉴트리,2020-06-02,65.46,MAX,-3.28,1.15,-4.92,-8.85,1.15,-11.48,-8.52,1.15,-15.74,-30.16,1.15,-33.11
pre,2020-08-03,006120,SK디스커버리,2020-08-18,-2.77,TRAIL,2.39,7.72,-6.88,7.72,12.36,-6.88,9.27,12.36,-14.61,-6.6,12.36,-17.28
pre,2020-08-25,104460,디와이피엔에프,2020-09-22,-12.3,STOP,2.14,3.06,-4.59,3.06,7.03,-4.59,1.53,7.65,-4.59,11.01,18.96,-4.59
pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-16,53.43,TRAIL,-18.48,2.84,-21.4,19.57,20.4,-21.4,46.99,53.01,-21.4,-25.67,53.68,-33.28
pre,2020-12-21,001120,LG상사,2021-02-16,10.74,MAX,-0.74,6.81,-2.03,0.92,6.81,-2.39,8.84,12.89,-2.39,27.44,35.54,-2.39
pre,2021-06-17,036170,클라우드에어,2021-06-29,-6.3,EARLY_FAIL,-7.32,2.85,-11.18,-12.2,2.85,-15.45,-13.62,2.85,-19.72,-26.22,2.85,-35.37
train,2022-11-14,004360,세방,2023-01-04,57.19,MAX,6.68,13.78,-1.7,14.2,21.16,-1.7,36.93,50.28,-1.7,31.11,50.28,-1.7
train,2023-03-24,009730,코센,2023-05-04,61.77,TRAIL,4.68,13.19,-1.81,4.68,13.19,-11.28,-4.15,13.19,-11.81,19.79,42.34,-11.81
train,2023-05-23,336570,원텍,2023-07-14,29.53,MAX,-1.32,6.03,-6.03,5.46,8.0,-8.76,26.93,28.72,-8.76,-10.26,42.28,-13.75
train,2024-05-02,175140,휴먼테크놀로지,2024-06-26,7.5,MAX,-5.08,3.68,-9.01,-17.51,3.68,-20.18,-11.93,3.68,-25.13,-25.38,3.68,-28.55
train,2024-12-12,285490,노바텍,2024-12-26,-6.3,EARLY_FAIL,4.72,4.79,-6.82,17.11,18.75,-6.82,26.56,27.8,-6.82,0.46,34.1,-7.67
train,2025-02-10,036530,SNT홀딩스,2025-04-02,16.16,MAX,-11.76,-0.15,-14.14,-6.4,-0.15,-14.14,-1.34,0.89,-14.14,72.02,93.75,-14.14
train,2025-05-09,082270,젬백스,2025-07-02,67.49,MAX,-11.94,0.65,-13.39,-6.29,0.65,-13.39,-14.68,0.65,-18.39,-4.35,0.65,-34.52
post,2025-09-17,089890,코세스,2025-09-30,-6.3,EARLY_FAIL,30.0,42.9,3.23,56.13,68.39,3.23,93.23,101.94,3.23,155.16,170.32,3.23
post,2025-10-15,089890,코세스,2025-11-25,0.5,TRAIL,3.19,22.11,-3.78,1.0,22.11,-7.37,-10.16,22.11,-25.58,,,
