variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
d4_base,pre,2013-03-04,025880,케이씨피드,2013-03-08,2013-03-11,2013-03-13,-0.063,EARLY_FAIL,0.25782227784730916,0.9299516908212561
d4_base,pre,2013-05-29,036580,팜스코,2013-06-04,2013-06-05,2013-06-25,-0.123,STOP,0.3782608695652174,0.4870689655172414
d4_base,pre,2013-07-18,006840,AK홀딩스,2013-07-24,2013-07-25,2013-09-06,0.13985714285714285,MAX,0.2534142640364188,0.49772727272727274
d4_base,pre,2013-09-26,029480,케이디씨,2013-10-02,2013-10-04,2013-10-17,0.30102010050251254,TRAIL,0.46264367816091956,0.359375
d4_base,pre,2014-02-17,049770,동원F&B,2014-02-21,2014-02-24,2014-04-07,0.11866172106824925,MAX,0.2905982905982906,0.4153225806451613
d4_base,pre,2014-06-30,138360,에이씨티,2014-07-04,2014-07-07,2014-08-19,0.1452758620689655,MAX,0.31868131868131866,0.4
d4_base,pre,2014-12-09,900130,웨이포트,2014-12-15,2014-12-16,2014-12-17,-0.063,EARLY_FAIL,0.48728246318607765,0.5927505330490405
d4_base,pre,2015-01-09,005110,한창,2015-01-15,2015-01-16,2015-01-29,0.6444654377880185,TRAIL,0.37569444444444444,1.453151618398637
d4_base,pre,2015-03-25,003350,한국화장품제조,2015-03-31,2015-04-01,2015-04-03,-0.063,EARLY_FAIL,0.44,2.7267080745341614
d4_base,pre,2015-04-29,051170,루보,2015-05-07,2015-05-08,2015-06-12,2.1845,TRAIL,0.3224043715846995,0.7681159420289855
d4_base,pre,2016-03-08,002620,제일약품,2016-03-14,2016-03-15,2016-04-27,0.5614820295983086,MAX,0.29475982532751094,0.5902777777777778
d4_base,pre,2016-06-13,069460,대호에이엘,2016-06-17,2016-06-20,2016-06-23,-0.063,EARLY_FAIL,0.31839622641509435,0.6245210727969349
d4_base,pre,2016-07-04,058220,아리온,2016-07-08,2016-07-11,2016-07-12,-0.063,EARLY_FAIL,0.3478818998716303,1.0884718498659518
d4_base,pre,2016-08-01,049550,잉크테크,2016-08-05,2016-08-08,2016-08-19,-0.123,STOP,0.34156378600823045,0.4127906976744186
d4_base,pre,2017-03-31,100030,모바일리더,2017-04-06,2017-04-07,2017-04-10,-0.063,EARLY_FAIL,0.32550335570469796,0.23651452282157676
d4_base,pre,2017-09-20,083640,인콘,2017-09-26,2017-09-27,2017-11-16,0.22080952380952382,MAX,0.35990888382687924,0.4633333333333333
d4_base,pre,2018-01-02,009420,한올바이오파마,2018-01-08,2018-01-09,2018-01-19,0.21817202268431002,TRAIL,0.5108910891089109,1.2444444444444445
d4_base,pre,2018-01-23,042660,대우조선해양,2018-01-29,2018-01-30,2018-02-06,-0.123,STOP,0.30256410256410254,3.3237250554323725
d4_base,pre,2018-04-20,028300,에이치엘비,2018-04-26,2018-04-27,2018-05-09,-0.123,STOP,0.4836795252225519,0.9940828402366864
d4_base,pre,2018-06-07,065660,안트로젠,2018-06-14,2018-06-15,2018-06-19,-0.063,EARLY_FAIL,0.3782456140350877,0.9493844049247606
d4_base,pre,2018-11-20,950110,SBI핀테크솔루션즈,2018-11-26,2018-11-27,2019-01-11,0.07557142857142857,MAX,0.4777777777777778,0.4268292682926829
d4_base,pre,2019-09-11,026910,광진실업,2019-09-19,2019-09-20,2019-09-25,-0.063,EARLY_FAIL,0.42729083665338646,0.46355685131195334
d4_base,pre,2019-10-15,060720,KH바텍,2019-10-21,2019-10-22,2019-12-03,0.22941590214067278,MAX,0.2804878048780488,0.36212624584717606
