variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
kospi_ma60,pre,2012-08-14,038290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2540834845735027,0.3775
kospi_ma60,pre,2012-10-12,064550,바이오니아,2012-10-19,2012-10-22,2012-11-16,-0.183,STOP,0.3564102564102564,0.7352614015572859
kospi_ma60,pre,2013-02-22,048830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.083,EARLY_FAIL,0.39855072463768115,0.7380352644836272
kospi_ma60,pre,2013-09-06,121600,나노신소재,2013-09-13,2013-09-16,2013-11-04,0.004556675062972292,MAX,0.32057416267942584,0.31446540880503143
kospi_ma60,pre,2014-05-29,091090,세원셀론텍,2014-06-09,2014-06-10,2014-07-22,-0.061309037900874636,MAX,0.2785923753665689,0.32170542635658916
kospi_ma60,pre,2014-09-12,033130,디지틀조선,2014-09-19,2014-09-22,2014-10-02,-0.183,STOP,0.47714808043875684,1.642512077294686
kospi_ma60,pre,2015-02-06,028300,에이치엘비,2015-02-13,2015-02-16,2015-04-02,-0.029578073089700996,MAX,0.43308823529411766,0.5906432748538012
kospi_ma60,pre,2015-04-29,049720,고려신용정보,2015-05-08,2015-05-11,2015-06-02,-0.183,STOP,0.36585365853658536,1.4477611940298507
kospi_ma60,pre,2016-03-15,043710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.43091655266757867,1.3169572107765453
kospi_ma60,pre,2016-07-18,010280,쌍용정보통신,2016-07-25,2016-07-26,2016-09-07,-0.15586624203821656,MAX,0.47717842323651455,0.6450511945392492
kospi_ma60,pre,2016-12-12,025820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.475,0.3231552162849873
kospi_ma60,pre,2017-02-09,083650,비에이치아이,2017-02-16,2017-02-17,2017-04-03,0.01827659574468085,MAX,0.4885964912280702,0.5899581589958159
kospi_ma60,pre,2017-07-17,049520,유아이엘,2017-07-24,2017-07-25,2017-07-31,-0.183,STOP,0.2847457627118644,0.27155172413793105
