trade_date,regime,confidence,risk_budget,allowed_strategy,bull_score,bear_score,stress_score,breadth_ma20,breadth_ma60,volatility_20,liquidity_trend,kospi_close,kospi_ma20,kospi_ma60,kosdaq_close,kosdaq_ma20,kosdaq_ma60
2012-03-28,SIDEWAYS,0.55,0.5,W4_RESTRICT,4,4,3,0.2854872881355932,0.4661016949152542,0.007608297779198796,-0.07964323639740312,2031.74,2024.6675,1972.5198333333333,519.56,534.4155000000001,527.8355
2012-03-29,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.2288135593220339,0.4152542372881356,0.0072715936313778855,-0.03390339776449203,2014.41,2023.8754999999996,1975.6538333333335,514.21,533.011,527.9591666666666
2012-03-30,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.2697993664202746,0.43453009503695883,0.007247631284107576,-0.00775859724146899,2014.04,2022.846,1977.9643333333333,519.56,531.7905,528.0546666666667
2012-04-02,SIDEWAYS,0.55,0.5,W4_RESTRICT,4,4,3,0.29722518676627535,0.45464247598719315,0.007160830364556586,-0.18625252281631222,2029.29,2023.5075000000002,1980.6821666666667,521.8,530.8935,528.1463333333334
2012-04-03,SIDEWAYS,0.6,0.5,W4_RESTRICT,5,3,3,0.2709541381128097,0.42857142857142855,0.00719178121255869,0.09867540423515564,2049.28,2025.9535,1983.7745,515.83,530.004,528.0441666666667
2012-04-04,SIDEWAYS,0.6,0.5,W4_RESTRICT,4,3,4,0.20969441517386722,0.363013698630137,0.008179618335226171,0.12840045857231064,2018.61,2027.7765,1986.699,502.97,528.5285,527.778
2012-04-05,SIDEWAYS,0.6,0.5,W4_RESTRICT,4,3,4,0.21274354923644023,0.3512374934175882,0.007953179770703473,0.026235841188907205,2028.77,2029.1770000000001,1990.0703333333333,503.34,526.9075,527.4956666666667
2012-04-06,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.22866174920969443,0.351422550052687,0.007631580335159214,-0.1542391430113037,2029.03,2029.7135000000003,1993.0004999999999,503.41,525.1005,527.1235
2012-04-09,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.17008952080042128,0.2711953659820958,0.010095387804368965,-0.1921310555940221,1997.08,2029.4425000000003,1995.526,486.8,522.635,526.5938333333332
2012-04-10,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.16710595677385345,0.2598840274117027,0.009866066749519162,-0.05700634740916677,1994.41,2027.911,1997.6899999999998,484.77,519.9504999999999,526.001
2012-04-12,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.16790254237288135,0.2658898305084746,0.009907473081970491,-0.0944342808226083,1986.63,2024.9885,1999.5391666666667,485.71,517.293,525.3773333333334
2012-04-13,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.24497354497354498,0.31693121693121695,0.012404078066196879,0.017779028961975696,2008.91,2023.2459999999999,2002.0331666666666,499.46,515.3504999999999,525.0375
2012-04-16,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.2616279069767442,0.313953488372093,0.012419098804061578,-0.20515416846776457,1992.63,2021.1555,2003.698,501.09,513.4159999999999,524.7293333333333
2012-04-17,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.291932059447983,0.31422505307855625,0.012399802522370315,-0.10154046318777299,1985.3,2018.0705000000003,2005.2465000000002,500.38,511.44350000000003,524.5156666666667
2012-04-18,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.3368532206969377,0.32787750791974657,0.012560178379790291,-0.06515944485075542,2004.53,2016.1895,2006.7391666666667,503.63,509.84749999999997,524.3145
2012-04-19,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.3403693931398417,0.30976253298153034,0.012560501594032854,-0.13032789004381395,1999.86,2014.821,2007.5720000000001,501.92,508.247,524.1436666666667
2012-04-20,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.31240105540897095,0.2849604221635884,0.012483315329724333,-0.04798070743195515,1974.65,2012.2475000000002,2007.9456666666665,497.56,506.7299999999999,523.9118333333333
2012-04-23,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.3008474576271186,0.2690677966101695,0.012482802552669063,-0.20155510759030626,1972.63,2009.5375,2008.2031666666667,495.02,505.10749999999996,523.5546666666667
2012-04-24,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.24248813916710596,0.23668950975224037,0.012725781502149348,0.05109934590231391,1963.42,2006.7489999999998,2008.1796666666667,487.62,503.3190000000001,523.0848333333333
2012-04-25,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.24025289778714437,0.2339304531085353,0.012774957360424586,0.0022462907018498957,1961.98,2002.8600000000001,2008.536833333333,483.48,501.40600000000006,522.6373333333333
2012-04-26,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.21621621621621623,0.21886592474827768,0.012988067460064773,0.06357957073158005,1964.04,1999.475,2008.6743333333334,476.62,499.2589999999999,522.0145
2012-04-27,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.24468085106382978,0.22287234042553192,0.013067322809570674,0.04835286184078735,1975.35,1997.5220000000002,2008.9428333333335,479.08,497.50249999999994,521.345
2012-04-30,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.2715654952076677,0.23535676251331203,0.01268210708462755,0.19648810634167124,1981.99,1995.9195,2008.9043333333332,478.89,495.46900000000005,520.6251666666666
2012-05-02,BEAR,0.5,0.2,W4_RECOVER,3,5,2,0.33014354066985646,0.24986709197235513,0.013182837193982434,0.19434627198879229,1999.07,1994.4085,2009.3498333333334,485.54,493.65599999999995,520.0076666666666
2012-05-03,BEAR,0.5,0.2,W4_RECOVER,2,5,2,0.367379679144385,0.2556149732620321,0.013143788960455484,-0.09032782773548576,1995.11,1991.7,2009.7161666666666,487.44,492.2365,519.5133333333334
2012-05-04,BEAR,0.5,0.2,W4_RECOVER,1,5,2,0.4205209994683679,0.26209463051568316,0.01219101441395616,-0.010504113576864205,1989.15,1990.227,2009.8421666666666,490.53,491.6145,519.0376666666667
2012-05-07,BEAR,0.5,0.2,W4_RECOVER,1,5,3,0.35511515800749865,0.2458489555436529,0.012253760065197893,-0.08405124272694564,1956.44,1986.6105,2009.054,487.01,490.79800000000006,518.472
2012-05-08,BEAR,0.5,0.2,W4_RECOVER,2,5,1,0.44195953141640043,0.2774227902023429,0.012840252540648304,-0.10914810764741645,1967.01,1983.5094999999997,2008.2605,494.6,490.35749999999996,517.9775000000001
2012-05-09,BEAR,0.5,0.2,W4_RECOVER,2,5,1,0.40618336886993606,0.26918976545842216,0.01048508499423731,-0.012220981101005224,1950.29,1981.17,2007.5368333333333,491.56,490.5955,517.3589999999999
2012-05-10,BEAR,0.5,0.2,W4_RECOVER,2,5,1,0.4282655246252677,0.2756959314775161,0.01047977870379619,-0.07977433334826156,1944.93,1978.696,2006.5233333333333,494.27,491.0705,516.7103333333333
2012-05-11,BEAR,0.5,0.2,W4_RECOVER,2,5,3,0.3683083511777302,0.25267665952890794,0.010489191585780603,-0.05905646456465319,1917.13,1975.2210000000002,2005.0981666666667,493.66,491.46799999999996,516.0153333333333
2012-05-14,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.3168527379053695,0.22700691121743755,0.008550209733876862,-0.0930896291779193,1913.73,1970.462,2003.2383333333335,488.53,490.92150000000004,515.1931666666667
2012-05-15,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.26089266737513284,0.21360255047821466,0.009139094692488674,0.07489441315737677,1898.96,1965.7785,2001.5968333333335,480.5,489.892,514.2798333333334
2012-05-16,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.17493333333333333,0.1648,0.011355363349606093,0.05149586112443605,1840.53,1958.5400000000002,1998.5478333333335,465.01,488.1235,513.0276666666666
2012-05-17,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.1972355130249867,0.1743753322700691,0.011365492214977194,0.05513483402705832,1845.24,1950.5755000000001,1995.5534999999998,468.13,486.34849999999994,511.8243333333333
2012-05-18,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.13621964097148892,0.12038014783526928,0.014184138721561792,0.05509301221210672,1782.46,1939.7055,1991.5238333333334,448.68,483.68649999999997,510.2513333333334
2012-05-21,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.1305732484076433,0.1305732484076433,0.014223346202340094,-0.17389590157382928,1799.13,1930.9294999999997,1987.6985,448.89,481.25300000000004,508.66283333333337
2012-05-22,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.1679915209326974,0.15315315315315314,0.016024836641576227,-0.0408937593387112,1828.69,1923.7325,1984.7133333333331,461.45,479.5745,507.33483333333334
2012-05-23,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.17003188097768332,0.14665249734325186,0.01592686218195285,-0.17343637126101075,1808.62,1915.9925000000003,1981.1921666666667,455.9,477.98849999999993,505.8641666666666
