cadence_days,period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason
3,pre,SIDEWAYS,2012-06-20,053160,프리엠스,2012-06-28,2012-07-05,0.012,TRAIL
3,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
3,pre,BULL,2013-03-07,049180,코리아본뱅크,2013-03-15,2013-03-20,-0.063,EARLY_FAIL_CLOSE
3,pre,SIDEWAYS,2013-04-26,950110,SBI액시즈,2013-05-07,2013-06-04,-0.069006600660066,TRAIL
3,pre,BULL,2013-08-06,011200,현대상선,2013-08-14,2013-08-20,-0.027553571428571427,TRAIL
3,pre,BULL,2014-02-20,006125,SK케미칼우,2014-02-28,2014-04-11,0.09765645514223195,MAX
3,pre,BULL,2014-04-24,068050,팬엔터테인먼트,2014-05-07,2014-08-01,0.9436666666666667,MAX
3,pre,BULL,2014-08-25,001040,CJ,2014-09-02,2014-10-13,-0.123,STOP
3,pre,BULL,2015-01-26,046310,백금T&A,2015-02-03,2015-02-09,-0.045338709677419355,TRAIL
3,pre,BULL,2015-02-11,025870,신라에스지,2015-02-24,2015-02-27,-0.01279020979020979,TRAIL
3,pre,BULL,2015-03-09,000970,한국주철관,2015-03-17,2015-04-02,0.40325,TRAIL
3,pre,BULL,2015-04-07,053950,경남제약,2015-04-16,2015-04-22,-0.123,STOP
3,pre,SIDEWAYS,2015-11-04,010470,오리콤,2015-11-12,2015-11-13,0.07427272727272727,TRAIL
3,pre,BULL,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
3,pre,BULL,2016-04-19,009190,대양금속,2016-04-27,2016-05-17,-0.09145437616387338,TRAIL
3,pre,BULL,2016-12-21,016250,이테크건설,2016-12-29,2017-02-14,0.038512231282431426,MAX
3,pre,BULL,2017-05-30,119860,다나와,2017-06-08,2017-08-09,0.17283603020496224,TRAIL
3,pre,SIDEWAYS,2017-09-11,066970,엘앤에프,2017-09-19,2017-09-20,-0.063,EARLY_FAIL_CLOSE
3,pre,BULL,2017-10-30,138360,에이씨티,2017-11-07,2017-12-21,-0.123,STOP
3,pre,BULL,2018-03-13,007610,선도전기,2018-03-21,2018-04-24,0.0012857142857142859,TRAIL
3,pre,BULL,2018-09-14,003670,포스코켐텍,2018-09-27,2018-10-11,-0.123,STOP
3,pre,BULL,2019-01-17,220180,핸디소프트,2019-01-25,2019-02-19,-0.123,STOP
3,pre,BULL,2019-04-09,179900,유티아이,2019-04-17,2019-04-25,-0.01392896174863388,TRAIL
3,pre,BULL,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
3,pre,BULL,2020-05-06,068760,셀트리온제약,2020-05-14,2020-08-06,0.455133971291866,MAX
3,pre,BULL,2020-08-11,021080,에이티넘인베스트,2020-08-20,2020-09-10,-0.07238775510204082,TRAIL
3,pre,SIDEWAYS,2021-03-29,184230,SGA솔루션즈,2021-04-06,2021-05-20,-0.083,MAX
3,pre,BULL,2021-07-06,014285,금강공업우,2021-07-14,2021-07-21,0.3171754385964912,TRAIL
3,train,BULL,2022-11-09,032190,다우데이타,2022-11-17,2023-02-14,1.1680526315789475,MAX
3,train,BULL,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
3,train,BULL,2023-05-25,250060,모비스,2023-06-05,2023-06-09,-0.063,EARLY_FAIL_CLOSE
3,train,BULL,2023-07-21,005490,POSCO홀딩스,2023-07-31,2023-08-02,-0.063,EARLY_FAIL_CLOSE
3,train,BULL,2024-01-02,234340,헥토파이낸셜,2024-01-10,2024-01-17,-0.123,STOP
3,train,BULL,2024-02-15,234690,녹십자웰빙,2024-02-23,2024-04-02,-0.04338461538461539,TRAIL
3,train,BULL,2024-05-07,106190,하이텍팜,2024-05-16,2024-06-28,0.23491250959324636,MAX
3,train,BULL,2025-01-10,365330,에스와이스틸텍,2025-01-20,2025-01-23,-0.063,EARLY_FAIL_CLOSE
3,train,BULL,2025-02-11,051630,진양화학,2025-02-19,2025-02-21,-0.063,EARLY_FAIL_CLOSE
3,train,BULL,2025-02-27,288330,브릿지바이오테라퓨틱스,2025-03-10,2025-04-15,0.2708336713995943,TRAIL
3,train,BULL,2025-06-04,064350,현대로템,2025-06-13,2025-07-25,0.07010420076377523,MAX
3,post,BULL,2025-09-08,045970,코아시아,2025-09-16,2025-09-26,-0.123,STOP
