period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
pre,2015-07-03,143240,사람인에이치알,2015-07-10,2015-09-21,-0.048544554455445546,MAX,0.4402390438247012,0.9457364341085271
pre,2015-09-30,064480,브리지텍,2015-10-07,2015-10-13,-0.123,EARLY_FAIL,0.36214285714285716,0.7135862913096696
pre,2015-10-15,065160,에프티이앤이,2015-10-22,2015-10-27,-0.12299999999999994,EARLY_FAIL,0.2752075919335706,0.2470414201183432
pre,2015-11-05,051980,SNH,2015-11-12,2015-11-20,-0.123,EARLY_FAIL,0.45253863134657835,1.092378752886836
pre,2015-11-26,104110,신성이엔지,2015-12-04,2015-12-08,-0.12299999999999997,EARLY_FAIL,0.5008460236886633,1.0957446808510638
pre,2015-12-10,072470,우리산업홀딩스,2015-12-17,2016-02-03,-0.253,STOP,0.43524590163934423,1.5603357817418677
pre,2016-03-07,002620,제일약품,2016-03-14,2016-05-26,1.5128562367864695,MAX,0.2973568281938326,0.5709342560553633
pre,2016-06-02,049630,재영솔루텍,2016-06-10,2016-08-22,0.01773365231259968,MAX,0.543801652892562,0.7741935483870968
pre,2016-08-29,112240,에스에프씨,2016-09-05,2016-11-09,-0.253,STOP,0.3973684210526316,0.7896389324960753
pre,2016-12-16,079170,한창산업,2016-12-23,2017-02-02,-0.253,STOP,0.3480278422273782,0.31603053435114503
pre,2017-03-30,036810,에프에스티,2017-04-06,2017-06-22,-0.12846125461254612,MAX,0.2737430167597765,0.23732718894009217
pre,2017-06-29,086520,에코프로,2017-07-06,2017-09-15,0.846009900990099,MAX,0.3034825870646766,0.5169811320754717
pre,2017-10-23,024720,한국콜마홀딩스,2017-10-30,2018-01-11,-0.0447558886509636,MAX,0.2594859241126071,0.2968253968253968
pre,2018-01-18,083790,크리스탈,2018-01-25,2018-02-02,-0.123,EARLY_FAIL,0.4110032362459547,1.1914893617021276
pre,2018-02-08,000250,삼천당제약,2018-02-19,2018-02-21,-0.123,EARLY_FAIL,0.43783783783783786,1.5255972696245734
pre,2018-03-06,241690,유니테크노,2018-03-13,2018-05-25,-0.12097752808988764,MAX,0.29289940828402367,0.7883597883597884
pre,2018-06-19,177830,파버나인,2018-06-26,2018-07-02,-0.12300000000000005,EARLY_FAIL,0.5227882037533512,0.6164680390032503
pre,2018-07-10,023440,제일제강,2018-07-17,2018-07-19,-0.123,EARLY_FAIL,0.486652977412731,0.97165991902834
pre,2018-08-03,264450,유비쿼스,2018-08-10,2018-10-29,-0.11656466876971609,TRAIL,0.2986798679867987,0.2838983050847458
pre,2018-10-30,200230,텔콘RF제약,2018-11-06,2018-11-12,-0.123,EARLY_FAIL,0.28,0.4275766016713092
pre,2018-11-13,238090,앤디포스,2018-11-20,2018-11-22,-0.123,EARLY_FAIL,0.4595744680851064,2.5127055306427506
pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2019-02-14,-0.253,STOP,0.5032894736842105,0.7531718569780853
pre,2019-03-07,045890,GV,2019-03-14,2019-03-27,-0.253,STOP,0.5184873949579832,0.5657894736842105
pre,2019-04-04,037070,파세코,2019-04-11,2019-04-19,-0.12300000000000003,EARLY_FAIL,0.4665757162346521,0.6947976878612717
pre,2019-05-03,066410,버킷스튜디오,2019-05-13,2019-07-23,-0.11133333333333334,MAX,0.3701188455008489,0.34782608695652173
pre,2019-08-28,073190,듀오백,2019-09-04,2019-11-19,0.1052024432809773,MAX,0.28113879003558717,0.2686230248306998
pre,2019-11-26,027830,대성창투,2019-12-03,2020-02-18,0.009594458438287153,MAX,0.25176470588235295,0.5178571428571429
pre,2020-03-03,039290,인포뱅크,2020-03-10,2020-03-13,-0.123,EARLY_FAIL,0.39594594594594595,0.2478920741989882
pre,2020-03-17,043910,자연과환경,2020-03-24,2020-06-08,0.31238461538461537,MAX,0.4908424908424908,0.3448275862068966
pre,2020-06-22,061040,알에프텍,2020-06-29,2020-09-08,0.4414444444444444,MAX,0.5308343409915357,0.9232558139534883
pre,2020-09-29,110020,전진바이오팜,2020-10-12,2020-12-08,-0.253,STOP,0.503448275862069,1.7306967984934087
pre,2021-01-07,272450,진에어,2021-01-14,2021-03-30,0.1434088397790055,MAX,0.2912912912912913,0.8117519042437432
pre,2021-04-06,050090,휘닉스소재,2021-04-13,2021-06-24,0.0005460992907801417,MAX,0.5006896551724138,0.23931623931623933
pre,2021-07-08,090410,덕신하우징,2021-07-15,2021-09-29,0.043558704453441295,MAX,0.4774951076320939,0.6920529801324503
pre,2021-10-07,086980,쇼박스,2021-10-15,2021-10-25,-0.12299999999999996,EARLY_FAIL,0.4510108864696734,0.4054644808743169
pre,2021-10-29,094820,일진파워,2021-11-05,2022-01-17,-0.16169017632241814,MAX,0.43352601156069365,0.6476190476190476
pre,2022-02-18,215100,로보로보,2022-02-25,2022-05-11,-0.16982464454976304,MAX,0.3633136094674556,1.4142857142857144
train,2022-06-21,086890,이수앱지스,2022-06-28,2022-07-04,-0.12300000000000004,EARLY_FAIL,0.26036866359447003,0.2821270310192024
train,2022-07-05,376180,피코그램,2022-07-12,2022-09-06,0.5633600525624178,TRAIL,0.5037220843672456,1.1783783783783783
train,2022-10-11,035290,골드앤에스,2022-10-18,2022-12-27,0.1737337807606264,MAX,0.35011709601873536,0.623574144486692
train,2023-01-04,054620,APS홀딩스,2023-01-11,2023-03-27,0.015315018315018317,MAX,0.3,0.5360169491525424
train,2023-04-03,131400,이브이첨단소재,2023-04-10,2023-04-13,-0.12300000000000003,EARLY_FAIL,0.4384057971014493,0.559322033898305
train,2023-04-24,010690,화신,2023-05-02,2023-07-14,0.49664714184897674,MAX,0.3758620689655172,0.6477272727272727
train,2023-07-21,005490,POSCO홀딩스,2023-07-28,2023-08-07,-0.123,EARLY_FAIL,0.3103448275862069,0.38268506900878296
train,2023-08-28,009240,한샘,2023-09-04,2023-11-20,-0.13169565217391305,MAX,0.26500857632933106,0.2926829268292683
train,2023-12-11,058470,리노공업,2023-12-18,2024-03-05,-0.005444987775061125,MAX,0.3776223776223776,0.37853470437017994
train,2024-03-19,191420,테고사이언스,2024-03-26,2024-06-10,-0.253,STOP,0.4806763285024155,0.5494011976047904
train,2024-07-02,089030,테크윙,2024-07-09,2024-07-17,-0.123,EARLY_FAIL,0.38220757825370677,0.896875
train,2024-07-23,059270,해성에어로보틱스,2024-07-30,2024-08-02,-0.123,EARLY_FAIL,0.41544715447154473,0.6689280868385346
train,2024-08-28,002870,신풍,2024-09-04,2024-09-09,-0.12299999999999993,EARLY_FAIL,0.40144927536231884,0.5401785714285714
train,2024-10-24,141080,리가켐바이오,2024-10-31,2024-11-21,-0.253,STOP,0.3236641221374046,0.5917375455650061
train,2024-12-05,230240,에치에프알,2024-12-12,2025-03-04,0.4299896907216495,MAX,0.4124203821656051,0.6206451612903225
train,2025-04-01,313760,캐리,2025-04-08,2025-06-09,-0.253,STOP,0.47068676716917923,0.8090909090909091
train,2025-07-01,037270,YG PLUS,2025-07-08,2025-09-17,-0.06266850828729281,MAX,0.32690124858115777,0.7514910536779325
