variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
shadow08_delay3,pre,2012-04-19,093520,매커스,2012-04-24,2012-04-25,2012-04-30,0.14283333333333334,TRAIL,0.3384146341463415,0.5619047619047619
shadow08_delay3,pre,2012-06-26,031390,이노셀,2012-06-29,2012-07-02,2012-07-09,0.06564274570982839,TRAIL,0.48097826086956524,1.3741935483870968
shadow08_delay3,pre,2012-08-29,025880,케이씨피드,2012-09-03,2012-09-04,2012-09-13,0.1105593220338983,TRAIL,0.3752244165170557,0.7112135176651305
shadow08_delay3,pre,2012-09-19,049960,쎌바이오텍,2012-09-24,2012-09-25,2012-11-08,0.20235714285714285,MAX,0.25922330097087376,0.6144200626959248
shadow08_delay3,pre,2012-11-23,066670,디스플레이텍,2012-11-28,2012-11-29,2013-01-16,-0.028157232704402516,MAX,0.4817880794701987,0.8192771084337349
shadow08_delay3,pre,2013-01-31,043590,크로바하이텍,2013-02-05,2013-02-06,2013-03-22,-0.12890799031477,MAX,0.3801242236024845,0.7928730512249443
shadow08_delay3,pre,2013-05-22,008775,호텔신라우,2013-05-27,2013-05-28,2013-06-18,-0.183,STOP,0.4578313253012048,0.9761904761904762
shadow08_delay3,pre,2013-07-18,025980,에머슨퍼시픽,2013-07-23,2013-07-24,2013-07-25,-0.083,EARLY_FAIL,0.4431818181818182,1.3036649214659686
shadow08_delay3,pre,2013-08-01,067250,STX조선해양,2013-08-06,2013-08-07,2013-08-20,-0.183,STOP,0.5079872204472844,0.5928753180661578
shadow08_delay3,pre,2013-12-09,024660,하림홀딩스,2013-12-12,2013-12-13,2013-12-18,-0.083,EARLY_FAIL,0.2696629213483146,0.5614035087719298
shadow08_delay3,pre,2014-01-09,138040,메리츠금융지주,2014-01-14,2014-01-15,2014-02-28,-0.03334300791556728,MAX,0.25725593667546176,0.5069582504970179
shadow08_delay3,pre,2014-03-03,011090,에넥스,2014-03-06,2014-03-07,2014-04-18,0.2048853046594982,MAX,0.3549618320610687,0.5802171290711701
shadow08_delay3,pre,2014-05-08,033180,필룩스,2014-05-13,2014-05-14,2014-05-16,-0.083,EARLY_FAIL,0.3075313807531381,0.4662576687116564
shadow08_delay3,pre,2014-07-14,123690,한국화장품,2014-07-17,2014-07-18,2014-07-28,-0.04350279329608939,TRAIL,0.3405511811023622,0.5727554179566563
shadow08_delay3,pre,2014-08-04,027830,대성창투,2014-08-07,2014-08-08,2014-08-11,-0.083,EARLY_FAIL,0.45054945054945056,0.7169811320754716
shadow08_delay3,pre,2014-09-19,023150,MH에탄올,2014-09-24,2014-09-25,2014-10-16,0.014045454545454545,TRAIL,0.3620689655172414,0.29271916790490343
shadow08_delay3,pre,2014-12-09,900130,웨이포트,2014-12-12,2014-12-15,2014-12-17,0.06709345794392522,TRAIL,0.48728246318607765,0.5927505330490405
shadow08_delay3,pre,2015-01-09,005110,한창,2015-01-14,2015-01-15,2015-01-29,0.6597906976744186,TRAIL,0.37569444444444444,1.453151618398637
shadow08_delay3,pre,2015-02-06,039790,위노바,2015-02-11,2015-02-12,2015-02-16,-0.083,EARLY_FAIL,0.38845726970033295,0.4722222222222222
shadow08_delay3,pre,2015-03-11,014990,인디에프,2015-03-16,2015-03-17,2015-03-30,-0.183,STOP,0.5307971014492754,1.216867469879518
shadow08_delay3,pre,2015-04-22,005750,대림B&Co,2015-04-27,2015-04-28,2015-05-14,0.0800860534124629,TRAIL,0.4622093023255814,3.7058823529411766
shadow08_delay3,pre,2015-08-03,078860,포인트아이,2015-08-06,2015-08-07,2015-08-11,-0.083,EARLY_FAIL,0.25168236877523553,0.700228832951945
shadow08_delay3,pre,2015-08-25,042940,르네코,2015-08-28,2015-09-18,2015-09-22,-0.083,EARLY_FAIL,0.45714285714285713,0.2878787878787879
shadow08_delay3,pre,2016-05-27,105550,트루윈,2016-06-01,2016-06-02,2016-06-16,-0.06149056603773585,TRAIL,0.30930930930930933,0.46480938416422285
