model,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,entry_ma20_dist,entry_trade_amount
BULL_V4_2026_YTD_AP06,2026-01-06,105840,우진,2026-01-13,2026-01-14,2026-03-03,0.08985714285714286,8985714.285714285,TRAIL,0.26532715095311693,0.30443548387096775,0.11544003842664247,19747615800.0
BULL_V4_2026_YTD_AP06,2026-01-07,240810,원익IPS,2026-01-14,2026-01-15,2026-03-04,0.4040680628272251,40406806.28272251,TRAIL,0.3726235741444867,0.38421052631578945,0.1302778780223746,39378322800.0
BULL_V4_2026_YTD_AP06,2026-01-07,005935,삼성전자우,2026-01-14,2026-01-15,2026-03-04,0.1094031007751938,10940310.07751938,TRAIL,0.25072604065827686,0.38844086021505375,0.12148523935452533,287159755100.0
BULL_V4_2026_YTD_AP06,2026-01-14,000250,삼천당제약,2026-01-21,2026-01-22,2026-03-04,1.2601578947368421,126015789.47368422,TRAIL,0.2504970178926441,0.2543640897755611,0.12211221122112212,105545979000.0
BULL_V4_2026_YTD_AP06,2026-01-20,240810,원익IPS,2026-01-27,2026-01-28,2026-03-04,0.15043347639484977,15043347.639484977,TRAIL,0.3810160427807487,0.27863247863247864,0.18516597510373445,116791285600.0
BULL_V4_2026_YTD_AP06,2026-01-21,357780,솔브레인,2026-01-28,2026-01-29,2026-02-02,-0.050673098751418844,-5067309.875141884,TRAIL,0.2621502209131075,0.23007246376811594,0.35234816818293585,71225962500.0
BULL_V4_2026_YTD_AP06,2026-01-27,005930,삼성전자,2026-02-03,2026-02-04,2026-03-04,0.05021100917431193,5021100.9174311925,TRAIL,0.2589341692789969,0.5321805955811719,0.12047628603919995,6118743677500.0
BULL_V4_2026_YTD_AP06,2026-01-27,101490,에스앤에스텍,2026-02-03,2026-02-04,2026-03-04,-0.08776517754868271,-8776517.75486827,TRAIL,0.3663101604278075,0.36247723132969034,0.2901830762577483,37765509500.0
BULL_V4_2026_YTD_AP06,2026-01-27,000270,기아,2026-02-03,2026-02-04,2026-03-04,0.007315925209542231,731592.5209542231,TRAIL,0.3824104234527687,0.32099827882960413,0.027214514407684097,206586996000.0
BULL_V4_2026_YTD_AP06,2026-01-27,004800,효성,2026-02-03,2026-02-04,2026-03-04,-0.10722343324250681,-10722343.324250681,TRAIL,0.3586666666666667,0.21555915721231766,0.03300157150340492,6091409400.0
BULL_V4_2026_YTD_AP06,2026-02-11,85910,네오티스,2026-02-23,2026-02-24,2026-03-04,0.021793388429752068,2179338.8429752067,TRAIL,0.3336058871627146,1.8310185185185186,0.33560018978333067,5929268280.0
BULL_V4_2026_YTD_AP06,2026-04-14,138080,오이솔루션,2026-04-21,2026-04-22,2026-04-24,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.37401129943502825,1.9441117764471059,0.11010992971706614,24698751000.0
BULL_V4_2026_YTD_AP06,2026-04-16,031330,에스에이엠티,2026-04-23,2026-04-24,2026-05-20,1.013949152542373,101394915.2542373,TRAIL,0.30526315789473685,0.6604244694132334,0.1864406779661017,5013754130.0
BULL_V4_2026_YTD_AP06,2026-04-22,356860,티엘비,2026-04-29,2026-04-30,2026-05-26,0.5487647058823529,54876470.5882353,MAX,0.34386391251518833,0.47491039426523296,0.0950599767831807,18998922000.0
BULL_V4_2026_YTD_AP06,2026-04-24,015860,일진홀딩스,2026-05-04,2026-05-06,2026-05-18,-0.123,-12300000.0,STOP,0.3246346555323591,0.3268698060941828,0.5348517797871123,41901771060.0
