period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,pnl_krw,reason
pre,BEAR,2012-06-14,078340,컴투스,2012-06-22,2012-08-03,-0.016953488372093022,-1695348.8372093022,MAX
pre,BEAR,2012-06-14,039530,씨앤케이인터,2012-06-22,2012-07-02,0.2658588007736944,26585880.07736944,TRAIL
pre,SIDEWAYS,2012-06-20,053160,프리엠스,2012-06-28,2012-07-05,0.012,1200000.0,TRAIL
pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,15869544.740973312,MAX
pre,BULL,2012-08-23,048260,오스템임플란트,2012-08-31,2012-09-17,-0.123,-12300000.0,STOP
pre,BULL,2012-09-07,044380,주연테크,2012-09-17,2012-09-24,-0.123,-12300000.0,STOP
pre,BULL,2012-09-07,000300,대유신소재,2012-09-17,2012-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2012-09-10,102940,코오롱생명과학,2012-09-18,2012-10-29,-0.027906600249066,-2790660.0249066,TRAIL
pre,BULL,2012-09-10,066410,캔들미디어,2012-09-18,2012-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2012-09-13,046140,SBS콘텐츠허브,2012-09-21,2012-09-25,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2012-09-18,096630,에스코넥,2012-09-26,2012-10-12,0.23910526315789474,23910526.315789472,TRAIL
pre,BULL,2012-09-18,105630,한세실업,2012-09-26,2012-12-07,0.13132835820895522,13132835.820895523,TRAIL
pre,BULL,2012-09-26,123330,제닉,2012-10-08,2012-10-16,-0.123,-12300000.0,STOP
pre,BULL,2012-10-08,026040,로만손,2012-10-16,2012-10-18,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2013-02-14,061040,알에프텍,2013-02-22,2013-02-26,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2013-02-28,025880,케이씨피드,2013-03-11,2013-03-14,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2013-03-06,038950,파인디지털,2013-03-14,2013-04-25,0.016801980198019803,1680198.0198019804,MAX
